TIPO,OPERACIÓN,DESPACHO,NOMBRE,CAPACIDAD NETA [MW],OPERADOR,INICIO OPERACION,MUNICIPIO,DEPARTAMENTO,SUBÁREA
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LUZMA I,"19,6",ISAGEN S.A. E.S.P.,07/10/2017,AMALFI,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        LUZMA II,"19,6",ISAGEN S.A. E.S.P.,07/10/2017,AMALFI,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        MAGALLO,"5,7",CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,22/12/2016,CONCORDIA,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        MANANTIALES,"3,15",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1992,MEDELLÍN,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        MIROLINDO,"3,75",HIDROTOLIMA S.A. E.S.P.,03/11/2004,IBAGUÉ,TOLIMA,SubArea Huila-Tolima
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        MORRO AZUL,"19,9",RISARALDA ENERGIA S.A.S. E.S.P.,10/09/2016,BELÉN DE UMBRÍA,RISARALDA,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        MULATOS II,"7,34",ENERGIA DEL SUROESTE S.A. E.S.P.,26/08/2019,TARSO,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        MUNICIPAL,"1,4",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,01/01/1935,MANIZALES,CALDAS,SubArea CQR
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        NIMA,"6,7",CELSIA COLOMBIA S.A. E.S.P.,01/01/1942,CALI,VALLE DEL CAUCA,SubArea Valle
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        NIQUIA,19,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,28/06/1993,BELLO,ANTIOQUIA,SubArea Antioquia
HIDRÁULICA,GENERADOR,NO DESPACHADA CENTRALMENTE,        NUEVO LIBARE,"5,1",EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,01/01/1994,DOSQUEBRADAS,RISARALDA,SubArea CQR
